connnode,c2,c1,c0,PgMax,PgMin,RgMax,RgMin,PgPrev
12,0,70,0,38,0,100,-100,0
12,0,12,0,75.9,0,100,-100,0
12,0,5,0,1905.6,0,100,-100,0
13,0,70,0,61,0,100,-100,0
13,0,12,0,121.4,0,100,-100,0
13,0,5,0,70.7,0,100,-100,0
14,0,70,0,40,0,100,-100,0
14,0,12,0,80.7,0,100,-100,0
14,0,5,0,22.1,0,100,-100,0
34,0,70,0,11,0,100,-100,0
34,0,12,0,22.8,0,100,-100,0
34,0,5,0,0.4,0,100,-100,0
15,0,130,0,190,0,100,-100,0
15,0,70,0,65,0,100,-100,0
15,0,12,0,129.2,0,100,-100,0
15,0,5,0,211.5,0,100,-100,0
16,0,130,0,435,0,100,-100,0
16,0,70,0,5,0,100,-100,0
16,0,12,0,9.2,0,100,-100,0
16,0,5,0,359.3,0,100,-100,0
17,0,130,0,249,0,100,-100,0
17,0,70,0,4,0,100,-100,0
17,0,12,0,8.1,0,100,-100,0
17,0,5,0,0.1,0,100,-100,0
18,0,70,0,27,0,100,-100,0
18,0,12,0,54.4,0,100,-100,0
18,0,5,0,6.3,0,100,-100,0
19,0,130,0,99,0,100,-100,0
19,0,120,0,2400,0,100,-100,0
19,0,70,0,16,0,100,-100,0
19,0,65,0,1000,0,100,-100,0
19,0,12,0,32.3,0,100,-100,0
19,0,5,0,964.7,0,100,-100,0
20,0,130,0,349,0,100,-100,0
20,0,70,0,52,0,100,-100,0
20,0,12,0,104,0,100,-100,0
20,0,5,0,34.2,0,100,-100,0
21,0,130,0,116,0,100,-100,0
21,0,70,0,35,0,100,-100,0
21,0,65,0,500,0,100,-100,0
21,0,12,0,69.2,0,100,-100,0
21,0,5,0,71.2,0,100,-100,0
22,0,120,0,1203,0,100,-100,0
22,0,70,0,17,0,100,-100,0
22,0,12,0,33.7,0,100,-100,0
22,0,5,0,576,0,100,-100,0
23,0,45,0,1724,0,100,-100,0
23,0,130,0,138,0,100,-100,0
23,0,70,0,49,0,100,-100,0
23,0,12,0,98.7,0,100,-100,0
23,0,5,0,141.6,0,100,-100,0
24,0,130,0,444,0,100,-100,0
24,0,70,0,14,0,100,-100,0
24,0,12,0,28.6,0,100,-100,0
24,0,5,0,926.8,0,100,-100,0
25,0,45,0,366,0,100,-100,0
25,0,70,0,18,0,100,-100,0
25,0,65,0,1000,0,100,-100,0
25,0,12,0,35.9,0,100,-100,0
25,0,5,0,43.5,0,100,-100,0
35,0,45,0,280,0,100,-100,0
35,0,130,0,20,0,100,-100,0
35,0,70,0,20,0,100,-100,0
35,0,12,0,49.5,0,100,-100,0
35,0,5,0,596.1,0,100,-100,0
26,0,70,0,4,0,100,-100,0
26,0,12,0,8.5,0,100,-100,0
26,0,5,0,130.8,0,100,-100,0
36,0,45,0,120,0,100,-100,0
36,0,130,0,17,0,100,-100,0
36,0,120,0,1215,0,100,-100,0
36,0,70,0,15,0,100,-100,0
36,0,12,0,29.9,0,100,-100,0
36,0,5,0,1046.9,0,100,-100,0
37,0,40,0,33,0,100,-100,0
37,0,70,0,21,0,100,-100,0
37,0,12,0,41.3,0,100,-100,0
37,0,5,0,805.8,0,100,-100,0
28,0,130,0,3,0,100,-100,0
28,0,70,0,17,0,100,-100,0
28,0,12,0,34,0,100,-100,0
28,0,5,0,323.2,0,100,-100,0
29,0,45,0,52,0,100,-100,0
29,0,130,0,2,0,100,-100,0
29,0,70,0,14,0,100,-100,0
29,0,12,0,28.2,0,100,-100,0
29,0,5,0,87.9,0,100,-100,0
30,0,40,0,233,0,100,-100,0
30,0,12,0,18.8,0,100,-100,0
30,0,5,0,119.6,0,100,-100,0
31,0,40,0,322,0,100,-100,0
31,0,70,0,1,0,100,-100,0
31,0,12,0,3,0,100,-100,0
31,0,5,0,295.5,0,100,-100,0
32,0,40,0,536,0,100,-100,0
32,0,37,0,612,0,100,-100,0
32,0,12,0,18.8,0,100,-100,0
32,0,5,0,1224.2,0,100,-100,0
33,0,70,0,10,0,100,-100,0
33,0,12,0,20.4,0,100,-100,0
33,0,5,0,332.9,0,100,-100,0
